rank,year,duration,age_limit,rating,numberof_ratings,Metascore,description,name
225,2016,2h 25m,18,8.1,(175K),85,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.", The Handmaiden
226,1982,1h 57m,AA,8.1,(827K),84,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator., Blade Runner
227,1986,1h 29m,15,8.1,(444K),75,A writer recounts a childhood journey with his friends to find the body of a missing boy., Stand by Me
228,1998,1h 57m,18,8.1,(864K),71,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.", The Big Lebowski
229,2011,2h 10m,12A,8.1,(954K),85,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.", Harry Potter and the Deathly Hallows: Part 2
230,2002,2h 21m,12A,8.1,(1.1M),75,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.", Catch Me If You Can
231,1986,2h,15,8.1,(442K),92,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.", Platoon
232,1939,1h 42m,A,8.1,(431K),92,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.", The Wizard of Oz
233,1996,1h 33m,18,8.1,(729K),83,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.", Trainspotting
234,1996,1h 38m,18,8.1,(730K),88,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson., Fargo
235,2014,1h 39m,15,8.1,(891K),88,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.", The Grand Budapest Hotel
236,1995,1h 41m,15,8.1,(342K),78,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.", Before Sunrise
237,1965,2h 52m,U,8.1,(263K),63,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer., The Sound of Music
238,2013,2h 3m,15,8.1,(516K),74,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda., Rush
239,2001,1h 32m,U,8.1,(984K),79,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."," Monsters, Inc"
240,2007,2h 28m,15,8.1,(660K),73,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.", Into the Wild
241,2015,1h 58m,15,8.1,(453K),86,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.", Room
242,2011,2h 20m,12A,8.1,(500K),71,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.", Warrior
243,2017,1h 55m,15,8.1,(558K),88,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.," Three Billboards Outside Ebbing, Missouri"
244,1998,1h 47m,18,8.1,(619K),67,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."," Lock, Stock and Two Smoking Barrels"
245,1978,3h 3m,X,8.1,(364K),90,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania., The Deer Hunter
246,2003,2h 11m,15,8.1,(219K),82,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.", Memories of Murder
247,2010,1h 38m,PG,8.1,(805K),75,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.", How to Train Your Dragon
248,1976,2h,PG,8.1,(632K),70,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect., Rocky
249,2019,2h 2m,15,8.1,(111K),95,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.", Portrait of a Lady on Fire
250,2013,2h 14m,15,8.1,(744K),96,"In the antebellum United States, Solomon Northup, a free Black man from upstate New York, is abducted and sold into slavery.", 12 Years a Slave
251,2008,1h 56m,15,8.1,(818K),73,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.", Gran Torino
252,2004,2h 12m,12A,8.1,(725K),86,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.", Million Dollar Baby
253,2015,2h 9m,15,8.1,(504K),93,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.", Spotlight
254,2009,1h 33m,U,8.1,(313K),,"Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker's loyal companion. As their bond grows deeper, a beautiful relationship unfolds.", Hachi: A Dog's Tale
255,1984,2h 25m,15,8.1,(120K),81,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."," Paris, Texas"
256,2000,1h 38m,PG,8.1,(168K),87,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.", In the Mood for Love
257,1988,1h 26m,U,8.1,(383K),86,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.", My Neighbour Totoro
258,1975,3h 5m,PG,8.1,(184K),89,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England., Barry Lyndon
259,2004,1h 20m,15,8.1,(290K),91,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.", Before Sunset
260,2014,2h 2m,15,8.1,(218K),77,Six short stories that explore the extremities of human behavior involving people in distress., Wild Tales
261,1962,2h 3m,PG,8.1,(83K),94,A senator returns to a Western town for the funeral of an old friend and tells the story of his origins., The Man Who Shot Liberty Valance
262,1979,2h 42m,PG,8.1,(145K),85,A guide leads two men through an area known as the Zone to find a room that grants wishes., Stalker
263,1993,2h 13m,15,8.1,(188K),84,"An Irish man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free them.", In the Name of the Father
264,1995,1h 38m,15,8.1,(198K),,24 hours in the lives of three young men in the French suburbs the day after a violent riot., La haine
265,2016,2h 10m,PG,8.1,(103K),78,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.", A Silent Voice
266,1980,2h 9m,X,8.1,(382K),90,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.", Raging Bull
267,1999,1h 26m,PG,8.1,(229K),85,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy., The Iron Giant
268,1959,3h 32m,PG,8.1,(255K),90,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.", Ben-Hur
269,1967,2h 7m,A,8.1,(189K),92,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform.", Cool Hand Luke
270,1954,1h 48m,PG,8.1,(166K),91,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.", On the Waterfront
271,1940,2h 10m,PG,8.1,(147K),86,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence., Rebecca
272,1949,1h 44m,PG,8.1,(183K),97,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.", The Third Man
273,1957,1h 36m,PG,8.1,(200K),88,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.", The Seventh Seal
274,1957,2h 41m,PG,8.1,(234K),88,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.", The Bridge on the River Kwai
275,1976,2h 1m,AA,8.1,(171K),83,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.", Network
276,2000,2h 34m,18,8.1,(254K),83,"An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City.", Amores perros
277,1997,1h 27m,15,8.1,(65K),,Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995)., Neon Genesis Evangelion: The End of Evangelion
278,1946,2h 50m,U,8.1,(71K),93,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.", The Best Years of Our Lives
279,1940,2h 9m,PG,8.1,(100K),96,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.", The Grapes of Wrath
280,1973,1h 42m,PG,8.1,(53K),77,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.", Paper Moon
281,2004,2h 1m,12A,8.1,(373K),79,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.", Hotel Rwanda
282,1966,1h 25m,X,8.1,(132K),86,A nurse is put in charge of a mute actress and finds that their personae are melding together., Persona
283,2014,2h 33m,12A,8.1,(203K),,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religious views on people., PK
284,1934,1h 45m,A,8.1,(113K),87,A rogue reporter trailing a runaway heiress for a big story joins her on a bus heading from Florida to New York and they end up stuck with each other when the bus leaves them behind at one of the stops along the way., It Happened One Night
285,2009,1h 32m,12A,8.1,(187K),,"In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger's syndrome.", Mary and Max
286,1994,1h 39m,15,8.1,(110K),100,A model discovers a retired judge is keen on invading people's privacy., Three Colours: Red
287,1942,1h 39m,U,8.1,(43K),86,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.", To Be or Not to Be
288,1930,2h 32m,PG,8.1,(68K),91,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.", All Quiet on the Western Front
289,1953,2h 11m,PG,8.1,(67K),85,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.", The Wages of Fear
290,1939,2h 9m,U,8.1,(122K),73,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.", Mr
291,1948,2h 15m,PG,8.1,(39K),,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina., The Red Shoes
292,1982,3h 8m,15,8.1,(68K),100,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls.", Fanny and Alexander
293,2001,3h 44m,PG,8.1,(121K),84,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers., Lagaan: Once Upon a Time in India
294,1953,2h 16m,U,8.1,(69K),100,"An old couple visit their children and grandchildren in the city, but receive little attention.", Tokyo Story
295,1976,2h 57m,PG,8.1,(51K),,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history., The Message
296,1969,2h 25m,AA,8.1,(26K),99,An account of underground resistance fighters in Nazi-occupied France., Army of Shadows
297,1957,1h 31m,PG,8.1,(116K),88,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.", Wild Strawberries
298,2012,1h 57m,PG,8.1,(50K),71,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.", Wolf Children
299,1966,2h 1m,X,8.1,(66K),96,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.", The Battle of Algiers
300,1955,1h 57m,X,8.1,(70K),,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi., Les Diaboliques
301,1993,2h 51m,15,8.1,(33K),84,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and endure some of the most troublesome times in China's history., Farewell My Concubine
302,1959,1h 39m,PG,8.1,(129K),,"A young boy, left without attention, delves into a life of petty crime.", The 400 Blows
303,2002,2h 9m,12A,8.1,(26K),82,"As the feudal Japan era draws to a close, a widower samurai experiences difficulty balancing clan loyalties, 2 young daughters, an aged mother, and the sudden reappearance of his childhood sweetheart.", The Twilight Samurai
304,2000,2h 53m,15,8.1,(29K),94,Each member of a middle-class Taipei family seeks to reconcile past and present relationships within their daily lives., Yi Yi
305,1975,3h 24m,PG,8.1,(59K),,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.", Sholay
306,1960,2h 8m,A,8.1,(33K),75,"Based on a real-life case in 1925; two great lawyers argue the case for, and against, a Tennessee science teacher accused of the crime of teaching Darwin's theory of evolution.", Inherit the Wind
307,1951,1h 51m,A,8.1,(39K),72,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.", Ace in the Hole
308,1958,2h 19m,PG,8.1,(43K),89,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.", The Hidden Fortress
309,1928,1h 50m,PG,8.1,(61K),98,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.", The Passion of Joan of Arc
310,1926,1h 18m,U,8.1,(99K),,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.", The General
311,1927,1h 34m,A,8.1,(54K),95,"A sophisticated city woman seduces a farmer and convinces him to murder his wife and join her in the city, but he ends up rekindling his romance with his wife when he changes his mind at the last moment.", Sunrise: A Song of Two Humans
312,2012,2h 31m,PG,8.1,(87K),,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal., Barfi!
313,1949,1h 54m,A,8.1,(36K),89,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist., White Heat
314,1957,1h 50m,PG,8.1,(52K),,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak., Nights of Cabiria
315,2004,1h 57m,PG-13,8.1,(26K),,A young couple's enduring love is tested when 27-year-old Su-jin is diagnosed with a rare form of Alzheimer's disease., A Moment to Remember
316,1988,2h 22m,15,8.1,(33K),,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.", Time of the Gypsies
317,1978,1h 32m,AA,8.1,(38K),,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young.", Autumn Sonata
318,2001,3h 3m,PG,8.1,(76K),,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.", Dil Chahta Hai
319,2015,2h 43m,12A,8.1,(98K),,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family., Bajrangi Bhaijaan
320,2008,1h 44m,15,8.1,(83K),,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday., A Wednesday
321,1991,2h 5m,PG,8.1,(36K),,"China in the 1920s. After her father's death, Songlian is forced to marry the wealthy Master Chen. With three wives already, each living in a separate house, there is fierce competition for his attention and the privileges that are gained.", Raise the Red Lantern
322,1925,1h 35m,U,8.1,(119K),,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.", The Gold Rush
323,1986,2h,PG,8.1,(28K),,A greedy landowner and his backward nephew conspire to block the only water source for an adjoining property in order to bankrupt the owner and force him to sell., Jean de Florette
324,1955,1h 58m,12,8.1,(37K),97,"Four men plan a technically perfect crime, but the human element intervenes...", Rififi
325,1937,1h 53m,U,8.1,(39K),,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.", La Grande Illusion
326,2016,2h 16m,15,8.1,(48K),,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.", Pink
327,1999,2h 54m,18,8.1,(27K),,"After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists.", Sarfarosh
328,1988,1h 27m,18,8.1,(26K),,"A naive inexperienced young man spies on a woman who lives across the courtyard, and falls in love with her. He starts using tricks which he hopes will lead to them meeting.", A Short Film About Love
329,1996,2h 8m,15,8.1,(72K),,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.", The Bandit
330,2013,1h 27m,15,8.1,(49K),73,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man, Ivo, has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.", Tangerines
331,2012,2h 5m,PG,8.1,(66K),,A shopkeeper takes God to court when his shop is destroyed by an earthquake., OMG: Oh My God!
332,2012,2h 2m,15,8.1,(66K),,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.", Kahaani
333,2003,2h 36m,PG,8.1,(89K),,A gangster sets out to fulfill his father's dream of becoming a doctor., Munna Bhai M
334,1961,1h 31m,X,8.1,(26K),,"Viridiana, a young nun about to take her final vows, pays a visit to her widowed uncle at the request of her Mother Superior.", Viridiana
335,2007,2h 33m,PG,8.1,(85K),68,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.", Chak De! India
336,2015,1h 49m,Not Rated,8.1,(32K),,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies.", Masaan
337,2006,2h 47m,15,8.1,(123K),,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.", Rang De Basanti
338,2013,2h 26m,15,8.1,(69K),,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled., Queen
339,2019,2h 10m,15,8.1,(37K),,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.", Article 15
340,2005,2h 2m,12A,8.1,(36K),,"The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world.", Black
341,1928,1h 12m,U,8.1,(36K),90,The Tramp finds work and the girl of his dreams at a circus., The Circus
342,2010,2h 14m,Not Rated,8.1,(48K),,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.", Udaan
343,2015,2h 12m,15,8.1,(39K),,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide., Talvar
344,1998,1h 47m,,8.1,(28K),,"When Altan swipes prescription drugs from his brother Nuri's pharmacy, they soon find themselves on a dangerous but funny road trip to get rid of the stuff and escape the mafiosi Altan tried to double-cross. Along the way, the brother who are compete opposites finally bond.", Her Sey Ã‡ok GÃ¼zel Olacak
345,1971,2h 2m,U,8.1,(35K),,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.", Anand
346,2021,2h 35m,12A,8,(879K),74,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future., Dune: Part One
347,2016,1h 48m,15,8,(1.1M),65,"A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks.", Deadpool
348,2017,2h 44m,15,8,(672K),81,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.", Blade Runner 2049
349,1987,1h 38m,PG,8,(453K),78,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.", The Princess Bride
350,2001,1h 53m,15,8,(854K),88,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.", Donnie Darko
351,2013,2h 6m,15,8,(675K),91,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.", Her
352,2016,2h 8m,12A,8,(678K),94,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.", La La Land
353,1968,1h 52m,PG,8,(198K),79,An astronaut crew crash-lands on a planet where highly intelligent non-human ape species are dominant and humans are enslaved., Planet of the Apes
354,2014,2h 1m,12A,8,(1.3M),76,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe., Guardians of the Galaxy
355,2015,2h 24m,12A,8,(931K),80,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.", The Martian
356,2010,1h 48m,15,8,(829K),79,"Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare.", Black Swan
357,2015,2h 36m,15,8,(879K),76,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team., The Revenant
358,2006,2h 24m,15,8,(697K),80,"After earning a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, in Montenegro.", Casino Royale
359,2014,1h 54m,12A,8,(829K),71,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.", The Imitation Game
360,2004,1h 55m,U,8,(814K),90,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.", The Incredibles
361,2012,2h 23m,12A,8,(1.5M),69,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity., Avengers Assemble
362,2016,1h 48m,PG,8,(550K),78,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.", Zootropolis
363,1967,1h 46m,X,8,(289K),83,A disillusioned college graduate finds himself torn between his older lover and her daughter., The Graduate
364,1974,1h 46m,PG,8,(170K),83,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.", Young Frankenstein
365,2005,2h 4m,18,8,(795K),74,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.", Sin City
366,1968,2h 17m,18,8,(237K),96,"A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors.", Rosemary's Baby
367,2004,2h 17m,18,8,(810K),83,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.", Kill Bill: Vol
368,2006,1h 57m,12A,8,(565K),64,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career., The Pursuit of Happyness
369,1975,2h 5m,X,8,(274K),86,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.", Dog Day Afternoon
370,1990,3h 1m,PG,8,(293K),72,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose.", Dances with Wolves
371,1999,3h 8m,18,8,(330K),78,"An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley.", Magnolia
372,2020,1h 40m,PG,8,(383K),83,"Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul.", Soul
373,2021,1h 51m,12A,8,(166K),72,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents.", CODA
374,2003,2h 5m,PG,8,(460K),58,A frustrated son tries to determine the fact from fiction in his dying father's life., Big Fish
375,2006,2h 23m,15,8,(589K),64,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.", Blood Diamond
376,1992,1h 30m,U,8,(470K),86,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true., Aladdin
377,1995,2h 9m,15,8,(649K),75,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.", Twelve Monkeys
378,1988,2h 13m,15,8,(549K),65,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance.", Rain Man
379,1992,2h 36m,15,8,(331K),57,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.", Scent of a Woman
380,1997,1h 21m,18,8,(97K),67,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.", Perfect Blue
381,1993,1h 41m,PG,8,(688K),72,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.", Groundhog Day
382,1991,1h 24m,U,8,(481K),95,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love., Beauty and the Beast
383,1955,1h 32m,X,8,(98K),97,"A self-proclaimed preacher marries a gullible widow whose young children are reluctant to tell him where their real dad hid the $10,000 he'd stolen in a robbery.", The Night of the Hunter
384,2008,2h,15,8,(880K),84,"A teenager from the slums of Mumbai becomes a contestant on the show 'Kaun Banega Crorepati?' When interrogated under suspicion of cheating, he revisits his past, revealing how he had all the answers.", Slumdog Millionaire
385,1989,2h,18,8,(113K),93,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.", Do the Right Thing
386,2010,1h 58m,15,8,(710K),88,"The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.", The King's Speech
387,2016,1h 46m,15,8,(194K),,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense., The Invisible Guest
388,2016,1h 58m,PG,8,(252K),69,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.", Lion
389,2003,2h 58m,15,8,(159K),61,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.", Dogville
390,1988,2h 4m,12,8,(207K),68,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.", Akira
391,2007,1h 55m,12A,8,(660K),85,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer., The Bourne Ultimatum
392,1969,1h 50m,PG,8,(227K),66,"In 1890s Wyoming, Butch Cassidy and The Sundance Kid lead a band of outlaws. When a train robbery goes wrong, they find themselves on the run with a posse hard on their heels. After considering their options, they escape to South America.", Butch Cassidy and the Sundance Kid
