rank,year,duration,age_limit,rating,numberof_ratings,Metascore,description,name
22,2020,2h 33m,15,8.7,(124K),,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.", Soorarai Pottru
23,2022,2h 44m,12A,8.7,(40K),,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it., 777 Charlie
24,2022,2h 37m,12A,8.7,(59K),,"The story of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994.", Rocketry: The Nambi Effect
25,2024,2h 46m,12A,8.6,(450K),79,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family., Dune: Part Two
26,1999,3h 9m,18,8.6,(1.4M),61,"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to help stave off the condemned man's execution.", The Green Mile
27,1998,2h 49m,15,8.6,(1.5M),91,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.", Saving Private Ryan
28,1995,2h 7m,18,8.6,(1.8M),65,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.", Seven
29,2023,2h 20m,PG,8.6,(380K),86,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.", Spider-Man: Across the Spider-Verse
30,1991,1h 58m,18,8.6,(1.6M),86,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.", The Silence of the Lambs
31,1977,2h 1m,U,8.6,(1.5M),90,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.", Star Wars: Episode IV - A New Hope
32,1991,2h 17m,15,8.6,(1.2M),75,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.", Terminator 2: Judgment Day
33,2001,2h 5m,PG,8.6,(856K),96,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.", Spirited Away
34,2002,2h 10m,18,8.6,(805K),79,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.", City of God
35,1997,1h 56m,PG,8.6,(747K),58,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.", Life Is Beautiful
36,1954,3h 27m,PG,8.6,(369K),98,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.", Seven Samurai
37,1946,2h 10m,U,8.6,(501K),89,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed., It's a Wonderful Life
38,1962,2h 13m,X,8.6,(70K),85,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.", Harakiri
39,1994,1h 50m,18,8.5,(1.3M),64,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.", Leon
40,2023,2h 2m,12A,8.5,(32K),,"The misadventures of two young brides who get lost from the same train. From mistaken identities to laugh-out-aloud escapades, the ensuing chaos guarantees laughter galore and heartwarming moments.", Laapataa Ladies
41,2000,2h 35m,15,8.5,(1.6M),67,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery., Gladiator
42,1985,1h 56m,PG,8.5,(1.3M),87,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.", Back to the Future
